"","address","lat","lon"
"163","JUAREZ  y 5 DE MAYO,SANTA ANA TEPETITLAN,Zapopan",NA,NA
"164","AV. DE LOS CEREZOS y NOGAL,TUZANIA LA,Zapopan",20.6719563,-103.416501
"165","JOSE MARIA FONCERRADA Y G. y JUAN CAYETANO PORTUGAL,RESIDENCIAL PONIENTE,Zapopan",20.7290545,-103.4287509
"166","PUERTO CHAMELA y PUERTO TOPOLOBAMPO,MIRAMAR,Zapopan",20.6409953,-103.4569525
"167","5 DE MAYO y PARRAL,SAN JUAN DE OCOTAN,Zapopan",20.6719563,-103.416501
"168","GRAL. PABLO QUIROGA y MARIA DE LA PEÑA,GUSA LA,Zapopan",20.6719563,-103.416501
"169","5 DE MAYO y PARRAL,SAN JUAN DE OCOTAN,Zapopan",20.6719563,-103.416501
"170","FRANCISCO JAVIER MINA y ESTHER T. DE CASTELLANOS,CABECERA MUNICIPAL,Zapopan",20.7365639,-103.3700158
"171","PROFRA. IDOLINA GAONA DE COSIO y 3a. PONIENTE,JARDINES DE NUEVO MEXICO,Zapopan",20.7552947,-103.4358244
"172","AV. VENUSTIANO CARRANZA y GRAL. MANUEL M. DIEGUEZ,CONSTITUCION,Zapopan",20.7262807,-103.3683427
"173","AV. VENUSTIANO CARRANZA y GRAL. MANUEL M. DIEGUEZ,CONSTITUCION,Zapopan",20.7262807,-103.3683427
"174","PLATINO y ORO,ARENALES TAPATIOS,Zapopan",20.6365858,-103.467169
"175","RAFAEL SANZIO y AV. VALLARTA,CAMICHINES VALLARTA,Zapopan",20.6796508,-103.4289415
"176","MISION DE SANTO TOMAS y FRIDA KAHLO,CHAPALITA INN,Zapopan",20.6587045,-103.4441847
"177","AHUEHUETE y PROL. AV. EL COLLI,PARAISOS DEL COLLI,Zapopan",20.6490619,-103.4500659
"178","PINTORES y DESIERTO,JARDINES TEPEYAC,Zapopan",20.6607217,-103.4201126
"179","AV. FEDERALISTAS y AV. VALDEPEÑAS,RINCONADA LAS PALMAS,Zapopan",20.7138937,-103.3994952
"180","RAFAEL SANZIO y AV. VALLARTA,CAMICHINES VALLARTA,Zapopan",20.6796508,-103.4289415
"181","AV. ADOLFO LOPEZ MATEOS y CALZ. DE LAS FUENTES,FUENTES LAS,Zapopan",20.6719563,-103.416501
"182","LOMAS DEL INFANTE y LOMAS DE ZAPOPAN,LOMAS DE ATEMAJAC,Zapopan",20.7155903,-103.3616347
"183","AV. DE LA PATRIA y COFRE DE PEROTE,COLLI EL,Zapopan",20.6719563,-103.416501
"184","PARRAL y SAN FRANCISCO,SAN JUAN DE OCOTAN,Zapopan",NA,NA
"185","PARRAL y SAN FRANCISCO,SAN JUAN DE OCOTAN,Zapopan",20.6719563,-103.416501
"186","16 DE SEPTIEMBRE y SAN JUAN,SAN JUAN DE OCOTAN,Zapopan",20.7113431,-103.4551728
"187","16 DE SEPTIEMBRE y SAN JUAN,SAN JUAN DE OCOTAN,Zapopan",20.7113431,-103.4551728
"188","AV. FEDERALISTAS y REAL DEL BOSQUE,REAL DEL BOSQUE,Zapopan",20.751992,-103.3913254
"189","AV. DE LA PATRIA y AV. MANUEL AVILA CAMACHO,PLAZA PATRIA,Zapopan",20.6719563,-103.416501
"190","JUPITER y JUAN DEL CARMEN,PALMITA LA,Zapopan",20.6719563,-103.416501
"191","BLVR. DEL VIGIA y DEL PIAL,VIGIA EL,Zapopan",20.6719563,-103.416501
"192","PLAYA BLANCA y SEVERO DIAZ,RESIDENCIAL MOCTEZUMA,Zapopan",20.6522317,-103.4305869
"193","PROL. AV. GUADALUPE y PERIFERICO,PARAISOS DEL COLLI,Zapopan",20.6481206,-103.4433344
"194","AV. DE LAS AMERICAS y EL MIXTON,SAN MIGUEL DE LA COLINA,Zapopan",20.7171515,-103.3862226
"195","TURQUESA y SIENITA,MARIANO OTERO,Zapopan",20.6301472,-103.4468419
"196","AV. MARIANO OTERO y AV. LAS TORRES,MARIANO OTERO,Zapopan",20.6243582,-103.4371011
"197","JORGE NOLASCO y CARLOS RIVERA ACEVES,MARTINICA LA,Zapopan",20.6719563,-103.416501
"198","PLAN DE GUADALUPE y PERIFERICO,DIVISION DEL NORTE,Zapopan",20.7386905,-103.3799337
"199","ABEDUL y PROL. AV. TEPEYAC,PARAISOS DEL COLLI,Zapopan",20.6527005,-103.4530986
"200","ENRIQUE ALVAREZ DEL CASTILLO y JICAMA,MESA COLORADA,Zapopan",20.6719563,-103.416501
"201","AV. FEDERALISTAS y AV. INDUSTRIA TEXTIL,REAL DEL BOSQUE,Zapopan",20.7505456,-103.3926538
