"","fecha2","calle","cruce","colonia","delito","diaSem","mes","lat","lon"
"88",2014-01-03,"TOMATE","ING. ALBERTO MORA LOPEZ","MESA COLORADA","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Fri",1,20.767414,-103.344092
"89",2014-01-03,"VISTA LA CAPILLA","VISTA ALTA","VISTA HERMOSA","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Fri",1,21.118425,-101.6612766
"90",2014-01-03,"AV. PLAZA DEL SOL","RINCON DE LAS ACACIAS","RINCONADA DEL SOL","CONTRA LA SALUD POSESION","Fri",1,20.6521658,-103.4007313
"91",2014-01-03,"PRIV. MEZQUITAN","MEZQUITAN","ARROYO HONDO","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Fri",1,20.7399934,-103.3542533
"92",2014-01-03,"PARRAL","OCAMPO","SAN JUAN DE OCOTAN","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Fri",1,20.7059379,-103.450983
"93",2014-01-03,"PLOMO","ANTIMONIO","SAN JOSE DEL BAJIO","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Fri",1,20.73317,-103.4043953
"94",2014-01-03,"CARR. A SALTILLO","CALZ. FEDERALISMO NORTE","ARROYO HONDO","LESIONES","Fri",1,20.7408195,-103.344966
"95",2014-01-04,"AV. LOPEZ MATEOS","RINCON DE LOS AHUEHUETES","RINCONADA DEL SOL","INGERIR BEBIDAS ALCOHOLICAS EN LUGARES PUBLICOS NO AUTORIZADOS","Sat",1,20.658283,-103.3981867
"96",2014-01-04,"ROSAS","OBELISCO","GIRASOLES ELITE","VIOLACION LEY GENERAL DE SALUD","Sat",1,20.740521,-103.4225941
"97",2014-01-04,"PERIFERICO","PROL. MARIANO OTERO","MARIANO OTERO","CONSUMIR ESTUPEFACIENTES, PSICOTROPICOS O INHALAR TOXICOS EN V.P.","Sat",1,20.6306877,-103.4360547
"98",2014-01-04,"PERIFERICO","PROL. MARIANO OTERO","MARIANO OTERO","VIOLACION LEY GENERAL DE SALUD","Sat",1,20.6306877,-103.4360547
"99",2014-01-04,"VOLCAN PICO DE ORIZABA","VOLCAN JURULLO","COLLI EL","VIOLACION LEY GENERAL DE SALUD","Sat",1,20.6432304,-103.426965
"100",2014-01-04,"SAN DANIEL ","SAN ISIDRO","CAMPANARIO EL","VIOLACION LEY GENERAL DE SALUD","Sat",1,20.5904205,-103.4354488
"101",2014-01-04,"RAFAEL SANZIO","AV. VALLARTA","CAMICHINES VALLARTA","ROBO NEGOCIO CON SEGURIDAD PRIVADA","Sat",1,20.6778076,-103.4292093
