"","address","lat","lon"
"200","ENRIQUE ALVAREZ DEL CASTILLO,MESA COLORADA,Zapopan",20.7607251,-103.3379204
"201","AV. FEDERALISTAS,REAL DEL BOSQUE,Zapopan",20.7521218,-103.3916738
"202","SANTA MARIA,TEPEYAC,Zapopan",20.7249323,-103.384734
"203","ACATL,MESA COLORADA,Zapopan",20.7715327,-103.3486065
"204","EMILIANO ZAPATA,JARDINES DE NUEVO MEXICO,Zapopan",20.7651101,-103.4489282
"205","JUAN DE LA BARRERA,AMPLIACION SANTA LUCIA,Zapopan",26.9051391,-101.4155487
"206","HORTENSIA,ANGELES DE NEXTIPAC LOS,Zapopan",20.6719563,-103.416501
"207","GUADALUPE VICTORIA,SANTA ANA TEPETITLAN,Zapopan",20.6200581,-103.4602491
"208","JAVIER MINA,SANTA ANA TEPETITLAN,Zapopan",20.6460816,-103.4412241
"209","AV. ADOLFO LOPEZ MATEOS,LOMA BONITA,Zapopan",20.6323168,-103.4153161
"210","SANTA TERESA,SANTA MARGARITA,Zapopan",20.729837,-103.4129343
"211","FELIX PALAVICINI,CONSTITUCION,Zapopan",20.7307649,-103.3612148
"212","RIO VERDE,LOMA BONITA EJIDAL,Zapopan",20.6253159,-103.4049663
"213","MANZANA 24,UNIDAD FOVISSSTE,Zapopan",20.7177452,-103.381605
"214","JOSE VILLEGAS,PASEOS DEL SOL,Zapopan",20.6340414,-103.4295513
"215","PALO COLORADO,MESA COLORADA,Zapopan",20.7673199,-103.3390075
"216","HIDALGO,SAN JUAN DE OCOTAN,Zapopan",20.7039952,-103.4530878
"217","CEREZA,MIRADOR ESCONDIDO,Zapopan",20.7652286,-103.3327733
"218","RAFAEL SANZIO,CAMICHINES VALLARTA,Zapopan",20.6778076,-103.4292093
"219","LUCIO BLANCO,TESISTAN,Zapopan",20.7306499,-103.3984567
"220","GUADALUPE VICTORIA ,SANTA ANA TEPETITLAN,Zapopan",20.6200581,-103.4602491
"221","EMILIANO ZAPATA,JARDINES DE NUEVO MEXICO,Zapopan",20.7651101,-103.4489282
"222","LAGO CAMECUARO,SEATTLE,Zapopan",20.714798,-103.3705598
"223","ARCO ESCOCES,ARCOS DE ZAPOPAN,Zapopan",20.7440814,-103.408441
"224","AV. DE LA PATRIA,JARDINES DE GUADALUPE,Zapopan",20.6646329,-103.4239529
"225","AV. NACIONES UNIDAS,RESIDENCIAL VIRREYES,Zapopan",20.6896826,-103.4301406
"226","AV. GUARDIA NACIONAL,MISION LA FLORESTA,Zapopan",20.6719563,-103.416501
"227","TORONJA,BALCONES DEL SOL,Zapopan",20.650174,-103.4594964
"228","CALZ. LAZARO CARDENAS,JARDINES DE SAN IGNACIO,Zapopan",20.6734904,-103.4098045
"229","AV. VALLARTA,TULE EL,Zapopan",20.6781472,-103.4178613
"230","VICENTE GERRERO,UNIDAD REPUBLICA,Zapopan",20.7241461,-103.3980833
"231","MORELOS,CABECERA MUNICIPAL,Zapopan",20.7365639,-103.3700158
"232","VICENTE GUERRERO,UNIDAD REPUBLICA,Zapopan",20.7241461,-103.3980833
"233","PARRAL,SAN JUAN DE OCOTAN,Zapopan",20.7059379,-103.450983
"234","PARRAL,SAN JUAN DE OCOTAN,Zapopan",20.7059379,-103.450983
"235","ARCO ALEJANDRO,ARCOS DE ZAPOPAN,Zapopan",20.7411499,-103.409278
"236","VOLCAN QUINCEO,COLLI EL,Zapopan",20.6441297,-103.4488874
"237","AV. HIDALGO,CABECERA MUNICIPAL,Zapopan",25.7346335,-100.1953494
"238","SANTA MATILDE,SANTA MARGARITA,Zapopan",20.7259757,-103.4161416
"239","SANTA MATILDE,SANTA MARGARITA,Zapopan",20.7259757,-103.4161416
"240","SABINO DELGADO ,SAN ISIDRO EJIDAL,Zapopan",20.7297519,-103.3981281
"241","SANTA ESTHER,SANTA MARGARITA,Zapopan",20.7280039,-103.4138487
"242","AV. LA CALMA,CALMA LA,Zapopan",20.6355768,-103.414924
"243","AV. LAS TORRES,MIRAMAR,Zapopan",20.6243582,-103.4371011
"244","PUERTO CHAMELA,MIRAMAR,Zapopan",20.6364935,-103.4515449
"245","LEONA VICARIO ,SANTA ANA TEPETITLAN,Zapopan",20.6174004,-103.4537596
"246","TORREON,AMPLIACION SANTA LUCIA,Zapopan",20.7262532,-103.3830009
"247","CIRCUITO BOSQUES DEL CENTINELA,VILLAS DEL CENTINELA,Zapopan",20.7521726,-103.3866315
"248","BELENES,BENITO JUAREZ,Zapopan",20.7303043,-103.3396631
"249","PLAYA DE HORNOS,COLLI CTM,Zapopan",20.6505516,-103.4296165
"250","PROL. MARIANO OTERO,COLLI EL,Zapopan",20.6391339,-103.4181519
"251","RIO COLOTLAN,LOMA BONITA EJIDAL,Zapopan",20.6233036,-103.4056883
"252","PROL. AV. GUADALUPE,ARENALES TAPATIOS,Zapopan",20.6586694,-103.4375221
"253","DANIEL COMBONI,ARCOS DE GUADALUPE,Zapopan",20.6565755,-103.4378026
"254","CALLE B,SEATTLE,Zapopan",20.7208077,-103.3756242
"255","NATIVIDAD MACIAS,VEINTISIETE DE SEPTIEMBRE,Zapopan",20.7270793,-103.3613657
"256","VICENTE GUERRERO,EXPERIENCIA LA,Zapopan",20.7308151,-103.3355554
"257","TIERRA BLANCA,ARENALES TAPATIOS,Zapopan",20.6353506,-103.4599162
"258","AV. TUZANIA,TUZANIA LA,Zapopan",20.7348605,-103.4124263
"259","VOLCAN TANCITARO,RESIDENCIAL MOCTEZUMA PONIENTE,Zapopan",20.6464517,-103.4339298
"260","VOLCAN TANCITARO,RESIDENCIAL MOCTEZUMA PONIENTE,Zapopan",20.6464517,-103.4339298
"261","VOLCAN TANCITARO,RESIDENCIAL MOCTEZUMA PONIENTE,Zapopan",20.6464517,-103.4339298
"262","COLIMA,MANTE EL,Zapopan",20.6067163,-103.4230135
"263","2 KM AL NOROESTE,CORONILLA DEL OCOTE LA,Zapopan",20.6719563,-103.416501
"264","RIO TEQUILA,LOMA BONITA EJIDAL,Zapopan",20.6276735,-103.4047493
"265","AV. SANTA MARGARITA,RESIDENCIAL SANTA MARGARITA,Zapopan",20.729901,-103.4281778
"266","ALVARO OBREGON,VICTOR HUGO,Zapopan",20.7244087,-103.3390865
"267","AV. DE LA PATRIA,SAN BERNARDO,Zapopan",20.7125323,-103.3803984
"268","AV. ADOLFO LOPEZ MATEOS,RINCONADA DEL SOL,Zapopan",20.658283,-103.3981867
"269","MANZANA 4,UNIDAD FOVISSSTE,Zapopan",20.7177452,-103.381605
